27.97.100.77,09,/shop,utm_sourceutm_mediumutm_campaignutm_term,0,0,0,0,1
115.114.78.170,09,/shop/wallet/txnhistory,page_sizepage_numberchannelversion,0,0,0,0,1
115.114.78.170,10,/shop,utm_sourceutm_mediumutm_campaignutm_term,0,0,2,178,7
115.114.78.170,10,/shop/v1/frequentorders,channelversion,0,1,2,178,7
115.114.78.170,10,/shop/cart,channelversion,0,2,2,178,7
115.114.78.170,10,/shop,utm_sourceutm_mediumutm_campaignutm_term,1,3,2,178,7
115.114.78.170,10,/,null,2,3,2,178,7
115.114.78.170,10,/shop/v1/frequentorders,channelversion,5,4,2,178,7
115.114.78.170,10,/shop/cart,channelversion,6,4,2,178,7
115.114.78.170,10,/shop/wallet/txnhistory,page_sizepage_numberchannelversion,13,4,2,178,7
115.114.78.170,10,/shop/wallet/balance,channelversion,13,5,2,178,7
115.114.78.170,10,/papi/v1/expresscart/verify,null,69,6,2,178,7
115.114.78.170,10,/papi/v1/expresscart/verify,null,78,7,2,178,7
115.114.78.170,10,/papi/v1/expresscart/verify,null,119,7,2,178,7
115.114.78.170,10,/shop/cart,channelversion,178,7,2,178,7
103.15.250.10,06,/,utm_sourceutm_mediumutm_campaign,0,0,0,0,1
103.15.250.10,09,/bus-tickets/search/Bangalore/Pondicherry(Puducherry)/2015-07-22/1,null,0,0,0,4,3
103.15.250.10,09,/shop/cart,channelversion,1,1,0,4,3
103.15.250.10,09,/favicon.ico,null,4,2,0,4,3
103.15.250.10,10,/,null,0,0,6,364,8
103.15.250.10,10,/shop,utm_sourceutm_mediumutm_campaign,301,1,6,364,8
103.15.250.10,10,/shop/v1/frequentorders,channelversion,301,2,6,364,8
103.15.250.10,10,/shop/cart,channelversion,301,3,6,364,8
103.15.250.10,10,/shop/logout,channelversion,311,4,6,364,8
103.15.250.10,10,/shop,null,311,5,6,364,8
103.15.250.10,10,/shop/cart,channelversion,311,6,6,364,8
103.15.250.10,10,/shop/login,isIframetheme,313,6,6,364,8
103.15.250.10,10,/shop/authresponse,codestate,363,7,6,364,8
103.15.250.10,10,/shop/v1/frequentorders,channelversion,364,8,6,364,8
103.15.250.10,10,/shop/cart,channelversion,364,8,6,364,8
115.118.136.29,10,/shop/authresponse,codestate,0,0,2,120,8
115.118.136.29,10,/shop/v1/frequentorders,channelversion,0,1,2,120,8
115.118.136.29,10,/shop/cart,channelversion,0,2,2,120,8
115.118.136.29,10,/papi/nps/merchantrating,merchant_idchannelversion,96,3,2,120,8
115.118.136.29,10,/papi/v1/promosearch/product/4383445/offers,parent_idpricechannelversion,96,4,2,120,8
115.118.136.29,10,/papi/rr/products/4383445/statistics,channelversion,96,5,2,120,8
115.118.136.29,10,/shop/orderhistory,pagesizechannelversion,120,6,2,120,8
115.118.136.29,10,/shop/wallet/balance,channelversion,120,7,2,120,8
115.118.136.29,11,/shop/logout,channelversion,0,0,0,0,3
115.118.136.29,11,/shop,null,0,1,0,0,3
115.118.136.29,11,/shop/cart,channelversion,0,2,0,0,3
103.26.57.44,16,/favicon.ico,null,0,0,0,0,1
101.222.163.239,16,/shop,utm_sourceutm_mediumutm_campaignutm_term,0,0,0,0,1
182.65.49.104,16,/shop/v1/frequentorders,channelversion,0,0,1,72,10
182.65.49.104,16,/papi/nps/merchantverification,null,0,1,1,72,10
182.65.49.104,16,/shop/p/mahavir-induction-base-pressure-cooker-8-0-liter-HCOKERDMIDPC8_0LMRSIFR,null,68,2,1,72,10
182.65.49.104,16,/shop/cart,channelversion,70,3,1,72,10
182.65.49.104,16,/papi/nps/merchantrating,merchant_idchannelversion,71,4,1,72,10
182.65.49.104,16,/papi/v1/promosearch/product/1455531/offers,parent_idpricechannelversion,71,5,1,72,10
182.65.49.104,16,/papi/rr/products/1455531/statistics,channelversion,71,6,1,72,10
182.65.49.104,16,/papi/nps/merchantrating,merchant_idchannelversion,72,7,1,72,10
182.65.49.104,16,/papi/v1/promosearch/product/15983667/offers,parent_idpricechannelversion,72,8,1,72,10
182.65.49.104,16,/papi/rr/products/15983667/statistics,channelversion,72,9,1,72,10
117.201.83.29,16,/,null,0,0,0,24,1
117.201.83.29,16,/,null,24,1,0,24,1
106.216.138.101,10,/shop/orderdetail/1095929403,actionschannelversion,0,0,0,49,14
106.216.138.101,10,/papi/nps/merchantverification,null,0,1,0,49,14
106.216.138.101,10,/shop/action,null,5,2,0,49,14
106.216.138.101,10,/shop/orderdetail/1095929403,actionschannelversion,25,3,0,49,14
106.216.138.101,10,/papi/nps/merchantverification,null,25,3,0,49,14
106.216.138.101,10,/shop/orderhistory,pagesizechannelversion,31,3,0,49,14
106.216.138.101,10,/shop/orderdetail/1085895401,actionschannelversion,36,4,0,49,14
106.216.138.101,10,/papi/nps/merchantverification,null,37,5,0,49,14
106.216.138.101,10,/shop/wallet/filteredUsertxnHistory,null,37,5,0,49,14
106.216.138.101,10,/papi/nps/merchantrating,merchant_idchannelversion,38,6,0,49,14
106.216.138.101,10,/papi/v1/promosearch/product/176300/offers,parent_idpricechannelversion,38,7,0,49,14
106.216.138.101,10,/papi/rr/products/176300/statistics,channelversion,39,8,0,49,14
106.216.138.101,10,/shop/p/menz-black-slippers-size-10-FOOMENZ-BLACK-SKAPO468536A79517B,null,48,9,0,49,14
106.216.138.101,10,/shop/cart,channelversion,49,10,0,49,14
106.216.138.101,10,/papi/nps/merchantrating,merchant_idchannelversion,49,11,0,49,14
106.216.138.101,10,/papi/v1/promosearch/product/10248137/offers,parent_idpricechannelversion,49,12,0,49,14
106.216.138.101,10,/papi/rr/products/10248137/statistics,channelversion,49,13,0,49,14
106.216.138.101,16,/shop/h/electronics/computers-accessories,gclid,0,0,0,1,2
106.216.138.101,16,/shop/cart,channelversion,1,1,0,1,2
124.123.3.24,10,/shop/h/electronics,utm_mediumutm_sourceutm_campaignutm_term,0,0,0,0,1
120.72.91.170,05,/shop/v1/frequentorders,channelversion,0,0,0,21,4
120.72.91.170,05,/shop/logout,channelversion,3,1,0,21,4
120.72.91.170,05,/shop,null,3,2,0,21,4
120.72.91.170,05,/shop/cart,channelversion,3,3,0,21,4
120.72.91.170,05,/shop/logout,channelversion,21,4,0,21,4
